,0,0
0,0.991857755,99.18577548
1,0.901415907,90.14159069
2,0.795106813,79.51068128
3,0.739187912,73.91879122
4,0.529847451,52.9847451
5,0.991857755,99.18577548
6,0.911762483,91.1762483
7,0.604011079,60.40110787
8,0.991857755,99.18577548
9,0.82346117,82.34611702
10,0.646226689,64.62266894
11,0.991857755,99.18577548
12,0.727814577,72.78145766
13,0.503309667,50.33096672
14,0.991857755,99.18577548
15,0.824053531,82.40535314
16,0.749771433,74.9771433
17,0.991857755,99.18577548
18,0.830490523,83.04905234
19,0.741122959,74.1122959
20,0.991857755,99.18577548
21,0.991857755,99.18577548
22,0.961994714,96.19947138
23,0.905207019,90.52070191
24,0.8160764,81.60764
25,0.51345879,51.34587899
26,0.991857755,99.18577548
27,0.991857755,99.18577548
28,0.732513976,73.25139761
29,0.643225393,64.32253926
30,0.991857755,99.18577548
31,0.881591552,88.15915516
32,0.582172694,58.21726941
33,0.991857755,99.18577548
34,0.504217954,50.42179545
35,0.991857755,99.18577548
36,0.906352251,90.63522505
37,0.788709311,78.87093112
38,0.74645421,74.64542101
39,0.659811507,65.98115069
40,0.569061765,56.90617654
41,0.534072961,53.40729612
42,0.991857755,99.18577548
43,0.770622548,77.06225484
44,0.643936226,64.39362261
45,0.991857755,99.18577548
46,0.991857755,99.18577548
47,0.979212679,97.92126787
48,0.918317947,91.83179473
49,0.836019228,83.60192282
50,0.60673594,60.67359404
51,0.991857755,99.18577548
52,0.93166582,93.16658202
53,0.838862562,83.88625617
54,0.790920793,79.09207931
55,0.991857755,99.18577548
56,0.886606877,88.66068766
57,0.813943899,81.39438995
58,0.75913074,75.91307404
59,0.528623238,52.86232378
60,0.991857755,99.18577548
61,0.908050353,90.80503527
62,0.561716486,56.17164856
63,0.991857755,99.18577548
64,0.927124384,92.7124384
65,0.730381476,73.03814755
66,0.991857755,99.18577548
67,0.964206196,96.42061957
68,0.577038897,57.70388968
69,0.991857755,99.18577548
70,0.776388198,77.63881979
71,0.578934453,57.89344527
72,0.991857755,99.18577548
73,0.625336083,62.5336083
74,0.991857755,99.18577548
75,0.908247806,90.82478064
76,0.657797479,65.77974787